id,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
141999,Erase ( Samantha Ronson Remix ) [ feat . Priyanka Chopra ] [ feat . Priyanka Chopra ],The Chainsmokers,Erase ( Samantha Ronson Remix ) [ feat . Priyanka Chopra ] - Single,"Pop , Music",$ 1.29,2012 Interscope Records,4:09,4-Dec-12,"Auuh Remix ( feat . Pacho , Cirilo & Angel Doze )",Javy the Flow,"Auuh Remix ( feat . Pacho , Cirilo & Angel Doze )","R&B , Dance & Electronic , Rap & Hip-Hop , Contemporary R&B , International Rap , International",$ 0.99,2015 Javy the Flow,5:05,"June 13 , 2015"
302034,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,House In The Hills ( feat . Curren $ y ) [ Clean ],Wiz Khalifa,Blacc Hollywood [ Clean ],Rap & Hip-Hop,$ 0.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:52,"August 19 , 2014"
126354,Biggest Man in Los Angeles,Andy Grammer,Andy Grammer,"Pop , Music , Rock , Adult Alternative",$ 1.29,‰ ãÑ 2011 S-Curve Records,3:55,14-Jun-11,Biggest Man In Los Angeles,Andy Grammer,Andy Grammer [ + Video ] [ + Digital Booklet ],Pop,$ 0.99,( C ) 2011 S-Curve Records,3:54,"June 14 , 2011"
714676,Good for You ( feat . A$ AP Rocky ) [ KASBO Remix ],Selena Gomez,Good for You ( feat . A$ AP Rocky ) [ Remixes ] - Single,"Pop , Music",$ 1.29,2015 Interscope Records,3:41,4-Sep-15,Forget Forever ( STå # FAN Remix ),Selena Gomez,For You,Pop,$ 1.29,"( C ) 2014 Hollywood Records , Inc.",3:46,"November 24 , 2014"
659997,Rewind ( feat . Monty ),Fetty Wap,Fetty Wap,"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:36,,Rewind ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap ( Deluxe ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",5:36,"September 25 , 2015"
422923,Lost At Sea ( feat . Ryan Tedder ),Zedd,Clarity ( Deluxe Edition ),"Dance , Music",$ 1.29,‰ ãÑ 2013 Interscope Records,3:45,24-Sep-13,Hourglass [ feat . LIZ ],Zedd,Clarity ( Deluxe ),Dance & Electronic,$ 1.29,( C ) 2013 Interscope Records,5:13,"September 24 , 2013"
907994,Life of the Party ( Acoustic ),Shawn Mendes,Handwritten ( Deluxe ),"Pop , Music , Rock , Vocal , Teen Pop , Dance",$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",3:13,14-Apr-15,The Weight,Shawn Mendes,Handwritten ( Deluxe ),Pop,$ 1.29,"( C ) 2015 Island Records , a division of UMG Recordings , Inc.",3:03,"April 14 , 2015"
714879,Good for You ( feat . A$ AP Rocky ) [ KASBO Remix ],Selena Gomez,Good for You ( feat . A$ AP Rocky ) [ Remixes ] - Single,"Pop , Music",$ 1.29,2015 Interscope Records,3:41,4-Sep-15,A Year Without Rain ( Dave AudÌ © Radio Remix ),Selena Gomez,For You,Pop,$ 1.29,"( C ) 2014 Hollywood Records , Inc.",3:59,"November 24 , 2014"
275652,Leave My Heart Out of This ( Acoustic ),Fifth Harmony,Better Together - Acoustic - EP,"Pop , Music , Rock , Teen Pop , Dance",$ 0.69,"2013 Simco Ltd. under exclusive license to Epic Records , a division of Sony Music Entertainment",3:54,15-Nov-13,Better Together ( Acoustic ),Fifth Harmony,Better Together - Acoustic,Pop,$ 0.69,( C ) 2014 MTA Records Limited under exclusive licence to Mercury Records Limited,3:16,"November 15 , 2013"
302031,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,House In The Hills ( feat . Curren $ y ) [ Clean ],Wiz Khalifa,Blacc Hollywood [ Clean ],Rap & Hip-Hop,$ 0.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:52,"August 19 , 2014"
662729,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,My Way ( feat . Monty ) [ Explicit ],Fetty Wap,Fetty Wap [ Explicit ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:33,"September 25 , 2015"
275684,Leave My Heart Out of This ( Acoustic ),Fifth Harmony,Better Together - Acoustic - EP,"Pop , Music , Rock , Teen Pop , Dance",$ 0.69,"2013 Simco Ltd. under exclusive license to Epic Records , a division of Sony Music Entertainment",3:54,15-Nov-13,Leave My Heart Out Of This ( Acoustic ),Fifth Harmony,Better Together - Acoustic,Pop,$ 0.69,( C ) 2014 MTA Records Limited under exclusive licence to Mercury Records Limited,3:54,"November 15 , 2013"
304080,We Dem Boyz,Wiz Khalifa,Blacc Hollywood ( Deluxe Version ),"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",$ 1.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,19-Aug-14,We Dem Boyz [ Explicit ],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:45,"August 19 , 2014"
299452,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,KK ( feat . Project Pat & Juicy J ) [ Explicit ],Wiz Khalifa,Blacc Hollywood ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:09,"August 19 , 2014"
802637,Tonight I Wan na Cry,Keith Urban,Greatest Hits ( Deluxe Edition ),"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"‰ ãÑ This compilation 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:19,8-Jan-08,Gon na B Good,Keith Urban,Fuse ( Deluxe Edition ),Country,$ 1.29,( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville,2:52,"September 10 , 2013"
758480,Sophmore Slump or Comeback of the Year,Fall Out Boy,From Under the Cork Tree,"Alternative , Music , Punk",$ 1.29,‰ ãÑ 2005 The Island Def Jam Music Group,3:23,3-May-05,Our Lawyer Made Us Change The Name Of This Song So We Would n't Get Sued,Fall Out Boy,From Under The Cork Tree,Rock,$ 1.29,( C ) 2005 The Island Def Jam Music Group,3:08,"May 3 , 2005"
275134,Leave My Heart Out of This ( Buzz Junkies Remix ),Fifth Harmony,Better Together - The Remixes - EP,"Pop , Music , Rock , Teen Pop , Dance",$ 0.69,"2013 Simco Ltd. under exclusive license to Epic Records , a division of Sony Music Entertainment",4:41,25-Nov-13,Do n't Wan na Dance Alone ( Cole Plante Remix ),Fifth Harmony,Better Together ( The Remixes ),Pop,$ 0.69,( C ) 2014 MTA Records Limited under exclusive licence to Mercury Records Limited,3:55,"November 25 , 2013"
952758,Dangerous ( feat . Sam Martin ) [ Kevin Saunderson Inner City Remix ],David Guetta,Dangerous ( feat . Sam Martin ) [ Remixes EP ],"Dance , Music",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",6:27,3-Nov-14,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Afrojack Remix ]",David Guetta,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Remixes EP ]",Dance & Electronic,$ 1.29,2015 Michelle Kelly,3:17,"May 12 , 2015"
811820,It Girl,Jason Derulo,Future History ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",$ 1.99,2011 Warner Bros. . Records Inc.,3:13,16-Sep-11,Make It Up As We Go,Jason Derulo,Future History,Pop,$ 1.29,( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville,3:10,"September 19 , 2011"
662776,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,Time ( feat . Monty ) [ Explicit ],Fetty Wap,Fetty Wap [ Explicit ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",4:38,"September 25 , 2015"
332696,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13,This Is What Makes Us Girls,Lana Del Rey,Born To Die - The Paradise Edition [ Explicit ],Alternative Rock,$ 1.29,( C ) 2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,3:58,"November 13 , 2012"
303270,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,Hope ( feat . Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,5:24,"August 19 , 2014"
662987,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,No Days Off ( feat . Monty ) [ Explicit ],Fetty Wap,Fetty Wap [ Explicit ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",5:04,"September 25 , 2015"
742212,Playground ( feat . Bugle & Arama ),Major Lazer,Free the Universe ( Extended Version ),"Electronic , Music , Rock , Reggae , Modern Dancehall , Dance",$ 1.29,‰ ãÑ 2013 Secretly Canadian / Mad Decent,3:57,18-Jun-13,Wind Up ( feat . Elephant Man & Opal ),Major Lazer,Free the Universe,Dance & Electronic,$ 1.29,2013 Secretly Canadian / Mad Decent,4:27,"April 16 , 2013"
712289,Coffee 's for Closers,Fall Out Boy,Folie ÌÊ Deux ( Deluxe Version ),"Alternative , Music , Punk",$ 0.99,‰ ãÑ 2008 The Island Def Jam Music Group,4:35,16-Dec-08,She 's My Winona ( Album Version ),Fall Out Boy,Folie ÌÊ Deux,"Alternative Rock , Hardcore & Punk , Pop , Rock",$ 0.99,( C ) 2008 The Island Def Jam Music Group,3:51,"December 16 , 2008"
660297,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,How We Do Things ( feat . Monty ) [ Explicit ],Fetty Wap,Fetty Wap ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:31,"September 25 , 2015"
779423,The Cowboy Rides Away ( Live ),George Strait,The Cowboy Rides Away : Live from AT&T Stadium,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",7:04,16-Sep-14,Seal Ballet / Arrival of the Humpbacks,George Fenton,Frozen Planet ( Soundtrack from the TV series ),Soundtracks,$ 0.99,( C ) 2013 Silva Screen Records,3:38,"March 26 , 2013"
896945,On the Doorstep,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,7:46,10-Dec-13,The Corps,James Newton Howard,Green Lantern : Original Motion Picture Soundtrack,Soundtracks,$ 1.29,WaterTower Music / Warner Bros. . Pictures,2:19,"June 14 , 2011"
759319,7 Minutes In Heaven ( Atavan Halen ),Fall Out Boy,From Under the Cork Tree,"Alternative , Music , Punk",$ 1.29,‰ ãÑ 2005 The Island Def Jam Music Group,3:02,3-May-05,Nobody Puts Baby In The Corner,Fall Out Boy,From Under The Cork Tree,Rock,$ 1.29,( C ) 2005 The Island Def Jam Music Group,3:20,"May 3 , 2005"
